stage,category,tier,cost,use,name,url,status,notes
build,ui-graphics,more,free,"asset or tool, check per item",SVG sine waves,https://www.sinwaver.com,unverified,Export perfect sine waves as SVG for your front-end projects |
build,ui-graphics,more,free,"asset or tool, check per item",UI Design Daily,https://uidesigndaily.com,unverified,Awesome UI Components of all types |
build,ui-graphics,more,free,"asset or tool, check per item",100 Daily UI,https://100dailyui.webflow.io,unverified,"Free Figma library of products, elements, and screens |"
build,ui-graphics,more,free,"asset or tool, check per item",Sketch App Sources,https://www.sketchappsources.com,unverified,"Sketch UIs, wireframes, icons and much more |"
build,ui-graphics,more,free,"asset or tool, check per item",Humaaans,https://www.humaaans.com,unverified,Cool illustrations of people with the ability to mix and match |
build,ui-graphics,more,free,"asset or tool, check per item",Paaatterns,https://products.ls.graphics/paaatterns,unverified,Free collection of beautiful patterns for all vector formats |
build,ui-graphics,more,freemium,"asset or tool, check per item",Drawkit.io,https://www.drawkit.io,unverified,Illustrations for designers and startups |
build,ui-graphics,more,free,"asset or tool, check per item",Absurd.design,https://absurd.design,unverified,Free surrealist illustrations for designers and developers |
build,ui-graphics,more,free,"asset or tool, check per item",Undraw.co,https://undraw.co,unverified,Open-source illustrations for any idea you can imagine and create |
build,ui-graphics,more,free,"asset or tool, check per item",Manypixels.co,https://www.manypixels.co/gallery,unverified,"Monochromatic, Isometric high-quality illustrations |"
build,ui-graphics,more,free,"asset or tool, check per item",Open Peeps,https://www.openpeeps.com,unverified,Hand drawn illustration library |
build,ui-graphics,more,free,"asset or tool, check per item",InvisionApp,https://www.invisionapp.com/inside-design/design-resources,unverified,"Library of free, high-quality UI kits, icon packs, and mockups |"
build,ui-graphics,more,free,"asset or tool, check per item",Open Doodles,https://www.opendoodles.com,unverified,A Free Set of Sketchy Illustrations |
build,ui-graphics,more,free,"asset or tool, check per item",Avataaars,https://avataaars.com,unverified,Free sketch library of avatars illustrations by Pablo Stanley |
build,ui-graphics,more,freemium,"asset or tool, check per item",Blush,https://blush.design,unverified,Free customizable illustrations with Figma Plugin |
build,ui-graphics,top,free,"asset or tool, check per item",Hero Patterns,http://www.heropatterns.com,unverified,A collection of repeatable SVG background patterns |
build,ui-graphics,more,free,"asset or tool, check per item",BEAUBUS Patterns,https://patterns.beaubus.com,unverified,A set of 150+ free SVG patterns (backgrounds) |
build,ui-graphics,more,free,"asset or tool, check per item",IRA Design,https://iradesign.io,unverified,An open-source gradient illustrations collection by creative tim. |
build,ui-graphics,top,free,"asset or tool, check per item",Transparent Textures,https://www.transparenttextures.com,unverified,A collection of transparent textures background patterns. |
build,ui-graphics,more,freemium,"asset or tool, check per item",icons8.com/illustrations,https://icons8.com/illustrations,unverified,Vector illustrations to class up your project |
build,ui-graphics,more,free,"asset or tool, check per item",Patternico,https://patternico.com,unverified,Seamless Pattern Maker |
build,ui-graphics,more,free,"asset or tool, check per item",Pixeltrue Illustrations,https://www.pixeltrue.com/illustrations,unverified,Free Animated Illustrations |
build,ui-graphics,more,free,"asset or tool, check per item",Abstract User Avatar API,https://www.abstractapi.com/user-avatar-api,unverified,API to create simple yet flexible user avatars from user names or emails |
build,ui-graphics,more,free,"asset or tool, check per item",sketchvalley,https://sketchvalley.com,unverified,"Download free PNG, SVG or AI file . |"
build,ui-graphics,more,free,"asset or tool, check per item",PatternPad,https://patternpad.com,unverified,Free and unlimited unique pattern designs. |
build,ui-graphics,more,free,"asset or tool, check per item",Dimensions,https://www.dimensions.com,unverified,Dimensions.com is an ongoing reference database of dimensioned drawings documenting the standard measurements and sizes 
build,ui-graphics,more,free,"asset or tool, check per item",Freebiesbug,https://freebiesbug.com,unverified,"Hand-picked resources for web designers and developers, constantly updated.|"
build,ui-graphics,more,free,"asset or tool, check per item",Flexiple,https://2.flexiple.com/scale/all-illustrations,unverified,"One new high-quality, open-source illustration each day. |"
build,ui-graphics,more,free,"asset or tool, check per item",Cool Text,https://cooltext.com,unverified,Cool Text is a FREE graphics generator for web pages and anywhere else you need an impressive logo without a lot of desi
build,ui-graphics,more,free,"asset or tool, check per item",illustration kit,https://illustrationkit.com,unverified,Premium open source illustrations added daily |
build,ui-graphics,more,free,"asset or tool, check per item",Doodad Pattern Generator,https://doodad.dev/pattern-generator,unverified,"Create unique, seamless, royalty-free patterns.|"
build,ui-graphics,more,free,"asset or tool, check per item",Pattern Monster,https://pattern.monster,unverified,A simple online pattern generator to create repeatable SVG patterns|
